[29Aug2024 20:41:28.364] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgedatauserdev, --assetIndex, 5, --assetsDir, C:\Users\Seth\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, --mod, kenjiscombatforms, --all, --output, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\generated\resources, --existing, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\main\resources]
[29Aug2024 20:41:28.370] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.11 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[29Aug2024 20:41:28.481] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgedatauserdev
[29Aug2024 20:41:28.523] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Seth/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23128!/ Service=ModLauncher Env=CLIENT
[29Aug2024 20:41:28.769] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.20.1-47.2.20\918959a037ab7191a0c45a359f4746ab76c110c3\javafmllanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.772] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.20.1-47.2.20\c1d1efcb98e8bfcf3dbfed0d1e81b55b648b86bf\lowcodelanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.774] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.20.1-47.2.20\efca3bee89c0085192b122d47334692b921ca7d1\mclanguage-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.776] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Seth\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.20.1-47.2.20\12cd436f148405b50c9b16bd8f3cc6f18db89824\fmlcore-1.20.1-47.2.20.jar is missing mods.toml file
[29Aug2024 20:41:28.875] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[29Aug2024 20:41:30.113] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[29Aug2024 20:41:30.117] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgedatauserdev' with arguments [--gameDir, ., --assetsDir, C:\Users\Seth\.gradle\caches\forge_gradle\assets, --assetIndex, 5, --mod, kenjiscombatforms, --all, --output, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\generated\resources, --existing, D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\src\main\resources]
[29Aug2024 20:41:30.476] [main/INFO] [mixin/]: Remapping refMap patchouli.refmap.json using D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\build\createSrgToMcp\output.srg
[29Aug2024 20:41:30.477] [main/INFO] [mixin/]: Remapping refMap epicfight.mixins.refmap.json using D:\02 Seth Folder\S 04 Seths Game Folder\Seth Game Folder\Mod Dev\forge-kenjis_combat_forms-1.20.1\build\createSrgToMcp\output.srg
[29Aug2024 20:41:30.853] [main/INFO] [net.minecraftforge.data.loading.DatagenModLoader/]: Initializing Data Gatherer for mods [kenjiscombatforms]
[29Aug2024 20:41:32.290] [main/WARN] [mixin/]: @Final field nextHeadUpdate:[I in epicfight.mixins.json:MixinWitherBoss should be final
[29Aug2024 20:41:32.290] [main/WARN] [mixin/]: @Final field idleHeadUpdates:[I in epicfight.mixins.json:MixinWitherBoss should be final
[29Aug2024 20:41:35.037] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.2.20, for MC 1.20.1 with MCP 20230612.114412
[29Aug2024 20:41:35.038] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.2.20 Initialized
[29Aug2024 20:41:35.203] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:ender_step
[29Aug2024 20:41:35.203] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:basic_attack
[29Aug2024 20:41:35.216] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:air_attack
[29Aug2024 20:41:35.216] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:roll
[29Aug2024 20:41:35.216] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:step
[29Aug2024 20:41:35.218] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:ender_obscuris
[29Aug2024 20:41:35.218] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:knockdown_wakeup
[29Aug2024 20:41:35.219] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:dodge_master
[29Aug2024 20:41:35.219] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:precise_roll
[29Aug2024 20:41:35.221] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:shadow_step
[29Aug2024 20:41:35.222] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:bull_charge
[29Aug2024 20:41:35.225] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:guard
[29Aug2024 20:41:35.226] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:demon_mark_passive
[29Aug2024 20:41:35.227] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:parrying
[29Aug2024 20:41:35.228] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:torment_passive
[29Aug2024 20:41:35.228] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:ruine_passive
[29Aug2024 20:41:35.230] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:lunar_echo_passive
[29Aug2024 20:41:35.231] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:impact_guard
[29Aug2024 20:41:35.231] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:satsujin_passive
[29Aug2024 20:41:35.233] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:solar_passive
[29Aug2024 20:41:35.233] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:berserker
[29Aug2024 20:41:35.234] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:charybdis
[29Aug2024 20:41:35.235] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:death_harvest
[29Aug2024 20:41:35.236] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:agony_plunge
[29Aug2024 20:41:35.237] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:emergency_escape
[29Aug2024 20:41:35.237] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:true_berserk
[29Aug2024 20:41:35.238] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:endurance
[29Aug2024 20:41:35.239] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:forbidden_strength
[29Aug2024 20:41:35.239] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:plunder_perdition
[29Aug2024 20:41:35.240] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:hypervitality
[29Aug2024 20:41:35.241] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:stamina_pillager
[29Aug2024 20:41:35.242] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:sakura_state
[29Aug2024 20:41:35.243] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:swordmaster
[29Aug2024 20:41:35.273] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:technician
[29Aug2024 20:41:35.274] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:sweeping_edge
[29Aug2024 20:41:35.275] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:dancing_edge
[29Aug2024 20:41:35.275] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:ender_blast
[29Aug2024 20:41:35.276] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:the_guillotine
[29Aug2024 20:41:35.278] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:grasping_spire
[29Aug2024 20:41:35.278] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:heartpiercer
[29Aug2024 20:41:35.279] [modloading-worker-0/INFO] [epicfight/]: Registered skill wom:wom:ender_fusion
[29Aug2024 20:41:35.280] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:steel_whirlwind
[29Aug2024 20:41:35.281] [modloading-worker-0/INFO] [epicfight/]: Registered skill epicfight:epicfight:battojutsu
